[2026-07-10 11:54:30] INFO     | sar_loadavg_parser | Parsed 143 load average rows for TCLFSLPRDDB1
[2026-07-10 12:30:49] INFO     | sar_loadavg_parser | Parsed 143 load average rows for TCLFSLPRDDB1
[2026-07-10 12:30:49] INFO     | sar_loadavg_parser | Inserted 143 load average rows
[2026-07-10 12:30:59] INFO     | sar_loadavg_parser | Parsed 143 load average rows for TCLFSLPRDDB1
[2026-07-10 12:31:00] INFO     | sar_loadavg_parser | Inserted 143 load average rows
[2026-07-10 12:31:08] INFO     | sar_loadavg_parser | Parsed 143 load average rows for TCLFSLPRDDB1
[2026-07-10 12:31:08] INFO     | sar_loadavg_parser | Inserted 143 load average rows
[2026-07-10 12:31:17] INFO     | sar_loadavg_parser | Parsed 143 load average rows for TCLFSLPRDDB1
[2026-07-10 12:31:17] INFO     | sar_loadavg_parser | Inserted 143 load average rows
[2026-07-10 12:31:25] INFO     | sar_loadavg_parser | Parsed 110 load average rows for TCLFSLPRDDB1
[2026-07-10 12:31:25] INFO     | sar_loadavg_parser | Inserted 110 load average rows
[2026-07-10 12:31:32] INFO     | sar_loadavg_parser | Parsed 143 load average rows for TCLFSLPRDDB1
[2026-07-10 12:31:32] INFO     | sar_loadavg_parser | Inserted 143 load average rows
[2026-07-10 12:31:39] INFO     | sar_loadavg_parser | Parsed 143 load average rows for TCLFSLPRDDB1
[2026-07-10 12:31:39] INFO     | sar_loadavg_parser | Inserted 143 load average rows
[2026-07-10 12:31:45] INFO     | sar_loadavg_parser | Parsed 143 load average rows for TCLFSLPRDDB1
[2026-07-10 12:31:45] INFO     | sar_loadavg_parser | Inserted 143 load average rows
[2026-07-10 12:31:48] INFO     | sar_loadavg_parser | Parsed 30 load average rows for TCLFSLPRDDB1
[2026-07-10 12:31:48] INFO     | sar_loadavg_parser | Inserted 30 load average rows
