[2026-07-10 11:52:15] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:59:49] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:00:13] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:00:13] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:00:40] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:00:40] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:00:45] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:00:45] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:00:45] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:01:21] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:01:21] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:01:31] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:01:31] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:01:52] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:01:52] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:01:53] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:02:23] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:02:23] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:02:29] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:02:29] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:03:00] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:03:00] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:03:00] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:03:11] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:03:11] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:03:40] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:03:40] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:03:59] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:03:59] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:04:08] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:04:08] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:04:08] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:04:50] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:04:50] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:04:51] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:04:51] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:05:21] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:05:21] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:05:21] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:05:45] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:05:45] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:06:04] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:06:04] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:06:34] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:06:34] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:06:34] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:06:40] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:06:40] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:07:14] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:07:14] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:07:44] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:07:44] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:07:44] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:08:22] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:08:22] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:08:55] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:08:55] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:08:56] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:09:32] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:09:32] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:09:50] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:09:50] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:10:07] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:10:07] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:10:07] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:10:42] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:10:42] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:10:44] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:10:44] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:11:22] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:11:22] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:11:22] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:11:42] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:11:42] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:11:56] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:11:56] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:12:33] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:12:33] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:12:33] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:12:36] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:12:36] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:13:07] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:13:07] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:13:26] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:13:26] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:13:45] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:13:45] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:13:45] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:14:17] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:14:17] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:14:20] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:14:20] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:14:57] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:14:57] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:14:58] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:15:07] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:15:07] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:15:35] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:15:35] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:15:54] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:15:54] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:16:12] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:16:12] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:16:12] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:16:42] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:16:42] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:16:50] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:16:50] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:17:25] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:17:25] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:17:25] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:17:29] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:17:29] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:18:03] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:18:03] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:18:20] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:18:20] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:18:37] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:18:37] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:18:37] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:19:11] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:19:11] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:19:14] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:19:14] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:19:46] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:19:46] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:19:46] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:20:03] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:20:03] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:20:25] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:20:25] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:20:52] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:20:52] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:20:54] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:20:54] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:20:54] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:21:35] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:21:35] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:21:41] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:21:41] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:26:11] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:26:11] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:26:13] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:26:13] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:26:13] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:26:13] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:26:14] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:26:17] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:26:17] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:27:28] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:27:28] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:27:52] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:27:52] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:27:53] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:27:53] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:27:53] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:28:53] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:28:53] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:29:01] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:29:01] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:29:50] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:29:50] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:29:51] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:29:51] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:29:51] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 12:30:11] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:30:11] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:30:54] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:30:54] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:31:04] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 12:31:04] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 12:31:04] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 12:31:04] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 12:31:04] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
