[2026-07-10 11:54:31] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:30:07] INFO     | anomaly_detector | Stored 3 SAR anomalies
[2026-07-10 12:30:07] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 3 finding(s)
[2026-07-10 12:30:16] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:30:25] INFO     | anomaly_detector |   [sar_disk] 1 SAR anomaly(ies) found
[2026-07-10 12:30:25] INFO     | anomaly_detector | Stored 1 SAR anomalies
[2026-07-10 12:30:25] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 1 finding(s)
[2026-07-10 12:30:34] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:30:42] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:30:50] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:31:01] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:31:10] INFO     | anomaly_detector |   [sar_disk] 2 SAR anomaly(ies) found
[2026-07-10 12:31:10] INFO     | anomaly_detector | Stored 2 SAR anomalies
[2026-07-10 12:31:10] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 2 finding(s)
[2026-07-10 12:31:18] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:31:26] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:31:33] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:31:40] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:31:46] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:31:49] INFO     | anomaly_detector |   [sar_disk] 2 SAR anomaly(ies) found
[2026-07-10 12:31:49] INFO     | anomaly_detector |   [sar_mem] 1 SAR anomaly(ies) found
[2026-07-10 12:31:49] INFO     | anomaly_detector | Stored 3 SAR anomalies
[2026-07-10 12:31:49] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 3 finding(s)
